country,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
Afghanistan, ,.03,.5696534,26.8,75944000,25.6000003814697, ,3.65412162280064,48.673, ,0, ,6.68438529968262,55.7000007629394,24.04
Albania,1914.99655094922,7.29,1.0247361,57.4,223747333.333333,42.0999984741211, ,44.9899469578783,76.918, ,9,636.341383366604,7.69932985305786,51.4000015258789,46.72
Algeria,2231.99333515006,.69,2.306817,23.5,2932108666.66667,31.7000007629394,.1,12.5000733055148,73.131,.42009452521537,2,590.509814347428,4.8487696647644,50.5,65.22
Andorra,21943.3398976022,10.17, , , , , ,81, , , , ,5.36217880249023, ,88.92
Angola,1381.00426770244,5.57,1.4613288,23.1,248358000,69.4000015258789,2,9.99995388324075,51.093, ,-2,172.999227388199,14.5546770095825,75.6999969482422,56.7
Antigua and Barbuda,11894.4640745081,8.17, , ,16225000, , ,80.6454545454545, , , , ,2.16184329986572, ,30.46
Argentina,10749.4192379463,9.35,.560987,73.9,5872119000,45.9000015258789,.5,36.0003349500148,75.901,.635943800978195,8,768.428299701347,7.765584,58.4000015258789,92
Armenia,1326.74175718861,13.66,2.6184384,51.6,51219666.6666667,34.2000007629394,.1,44.0010245795602,74.241, ,5,603.763057563433,3.74158787727356,40.0999984741211,63.86
Aruba, , , , ,35871000, , ,41.8008888888889,75.246, , , , , ,46.78
Australia,25249.98606148,10.21,.4862799,83.2,12970092666.6667,54.5999984741211,.1,75.8956537961344,81.907,1.91302610912404,10,2825.39109539914,8.4700301251191,61.5,88.74
Austria,26692.9841066319,12.4,.8155798,70.5,4466084333.33333,49.7000007629394,.3,72.7315755423123,80.854,1.54879096611674,10,2068.12330899163,13.09437,57.0999984741211,67.16
Azerbaijan,2344.89691619809,13.34,1.9767462,31.5,511107666.666667,56.2000007629394,.1,46.6797015683676,70.739,.35917260997566,-7,921.562110759901,1.38096463680267,60.9000015258789,51.92
